2,2
3,3
16,11
18,14
21,19
22,20
29,33
30,34
46,43
51,44
53,47
57,49
68,57
69,59
72,60
76,68
82,72
88,80
90,83
92,84
94,95
96,98
101,132
102,133
103,136
107,146
109,147
113,159
114,171
116,183
117,184
120,198
122,202
128,209
130,210
132,215
135,226
138,235
139,237
142,243
143,244
146,248
149,254
154,263
157,269
158,270
159,271
160,277
161,281
164,288
166,293
167,295
168,299
169,300
170,301
177,310
182,323
184,328
193,413
194,415
198,420
206,426
208,429
210,430
214,432
217,336
219,341
224,345
226,346
228,347
235,352
237,358
241,362
245,363
246,364
249,369
254,371
257,377
261,381
265,383
279,398
282,438
283,439
285,445
290,451
292,455
299,459
300,461
302,469
304,480
306,484
312,490
317,504
318,505
319,507
321,508
